buyin,tourn_id,table,hand_id,date,time,table_size,level,playing,seat,name,stack,position,action_pre,action_flop,action_turn,action_river,all_in,cards,board_flop,board_turn,board_river,combination,pot_pre,pot_flop,pot_turn,pot_river,ante,blinds,bet_pre,bet_flop,bet_turn,bet_river,result,balance
$0.92+$0.08,2929450288,1,215051507105,2020-06-07,18:15:09,3,1,3,1,fa538846,500,BTN,folds,x,x,x,False,8d Qh,0,0,0,,30,30,30,30,0,0,0,0,0,0,gave up,0
$0.92+$0.08,2929450288,1,215051507105,2020-06-07,18:15:09,3,1,3,2,676c5599,500,SB,folds,x,x,x,False,--,0,0,0,,30,30,30,30,0,10,10,0,0,0,gave up,-10
$0.92+$0.08,2929450288,1,215051507105,2020-06-07,18:15:09,3,1,3,3,7055f691,500,BB,x,x,x,x,False,--,0,0,0,,30,30,30,30,0,20,20,0,0,0,took chips,10
$0.92+$0.08,2929450288,1,215051520234,2020-06-07,18:15:23,3,1,3,1,fa538846,500,BB,raises,bets-doesn't,x,x,False,Ks 4s,Ad Kh 4c,0,0,,120,180,180,180,0,20,60,60,0,0,took chips,60
$0.92+$0.08,2929450288,1,215051520234,2020-06-07,18:15:23,3,1,3,2,676c5599,490,BTN,folds,x,x,x,False,--,Ad Kh 4c,0,0,,120,180,180,180,0,0,0,0,0,0,gave up,0
$0.92+$0.08,2929450288,1,215051520234,2020-06-07,18:15:23,3,1,3,3,7055f691,510,SB,calls-calls,checks-folds,x,x,False,--,Ad Kh 4c,0,0,,120,180,180,180,0,10,60,0,0,0,gave up,-60
$0.92+$0.08,2929450288,1,215051555272,2020-06-07,18:16:01,3,1,3,1,fa538846,560,SB,raises,bets-doesn't,x,x,False,Js Qh,7s Qc 9c,0,0,,120,240,240,240,0,10,60,120,0,0,took chips,60
$0.92+$0.08,2929450288,1,215051555272,2020-06-07,18:16:01,3,1,3,2,676c5599,490,BB,calls,folds,x,x,False,--,7s Qc 9c,0,0,,120,240,240,240,0,20,60,0,0,0,gave up,-60
$0.92+$0.08,2929450288,1,215051555272,2020-06-07,18:16:01,3,1,3,3,7055f691,450,BTN,folds,x,x,x,False,--,7s Qc 9c,0,0,,120,240,240,240,0,0,0,0,0,0,gave up,0
$0.92+$0.08,2929450288,1,215051571270,2020-06-07,18:16:18,3,1,3,1,fa538846,620,BTN,folds,x,x,x,False,8h 3h,0,0,0,,60,60,60,60,0,0,0,0,0,0,gave up,0
